longitude,latitude,livingArea,years_since_built,GasStation_Count,GolfCourse_Count,average_bar_rating,household_income,TraderJoes_distance,best_school_rating,coast_distance,price
-122.38886,37.757065,1413.0,15.0,26.0,0.0,4.663636363636364,176788.0,1.39236919,5.0,0.36840715,1500000
-118.381226,33.86051,1892.0,36.0,14.0,0.0,4.175,143785.0,0.65247321,5.0,1.10556162,1675000
-118.36474,34.10266,4169.0,39.0,22.0,0.0,-1.0,87339.0,0.35752017,5.0,10.1049993,2400000
-117.819466,33.82656,3549.0,46.0,16.0,0.0,-1.0,116618.0,1.06812168,5.0,15.74766073,1475000
-117.93019,33.62827,1440.0,61.0,15.0,0.0,-1.0,123333.0,0.66737029,5.0,0.84802392,1170000
-118.365524,34.104156,2897.0,96.0,21.0,0.0,-1.0,87339.0,0.46020894,5.0,10.14310146,2475000
-117.276566,32.846115,1493.0,20.0,3.0,2.0,-1.0,136601.0,2.94552669,5.0,0.14652439,1600000
-118.36026,34.126614,2557.0,74.0,16.0,1.0,4.65,87339.0,1.80352835,5.0,11.42306718,2221711
-117.22014,32.957314,2163.0,35.0,5.0,5.0,4.477777777777778,186000.0,1.68982163,5.0,1.82464466,2050000
-117.11707,33.008564,3472.0,21.0,1.0,1.0,-1.0,166804.0,3.05259025,5.0,8.24758039,2340000
-118.13621,33.762012,2701.0,96.0,16.0,3.0,-1.0,107889.0,1.58740912,5.0,0.4418345,1500000
-117.240715,32.999905,1975.0,46.0,6.0,5.0,-1.0,128000.0,3.50990371,5.0,2.04652719,1625000
-117.25903,33.09369,4283.0,39.0,4.0,3.0,-1.0,163402.0,2.2811754,5.0,3.170017,1642000
-117.23708,32.8288,2400.0,55.0,10.0,2.0,4.5,136601.0,1.94550695,5.0,2.14202334,2150000
-118.39969,33.777653,1920.0,61.0,5.0,3.0,4.399999999999999,166602.0,2.004623,5.0,1.02725604,1600000
-118.09231,34.11383,3000.0,84.0,13.0,2.0,-1.0,107359.0,0.98130878,5.0,16.97342027,1430000
-118.65816,34.174812,2076.0,60.0,7.0,1.0,-1.0,106355.0,1.52003283,5.0,9.63597804,1280000
-117.90997,33.89694,2559.0,24.0,18.0,4.0,4.8,85220.0,2.44387042,5.0,14.73251969,1360000
-117.880516,34.083946,3445.0,74.0,26.0,1.0,4.1,82018.0,3.59999616,5.0,22.4905832,1525000
-118.39106,33.743275,2447.0,36.0,1.0,3.0,4.481818181818182,166602.0,0.99941353,5.0,0.28118471,1770000
